Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 5 30, 2024 -- 13: 47: 44: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	mm	N	deg	deg	deg	N	mm	N	deg	deg	deg
-1.1448	-4.2232	-2.4571	 0.4126	-0.2838	-0.1526	 0.8340	 0.0432	-4.0354	 0.0080	-0.0062	 0.0131	 0.4133	 0.0000	 0.6642	 0.0000	 0.0000	 0.0000	-0.3390	-0.0432	-1.3452	-0.0080	 0.0062	-0.0131
 0.6778	-4.1798	-6.5360	 0.3738	 0.0392	-0.1896	 0.8445	 0.0417	-4.0358	 0.0413	-0.0027	 0.0134	 0.4497	 0.0000	 0.7235	 0.0000	 0.0000	 0.0000	-2.1493	-0.0417	 2.7996	-0.0413	 0.0027	-0.0134
-1.3227	-4.4547	-4.7865	 0.4806	-0.1759	-0.1849	 0.8392	 0.0304	-4.0343	 0.0280	-0.0082	 0.0037	 0.4879	 0.0000	 0.7858	 0.0000	 0.0000	 0.0000	-0.0789	-0.0304	 1.1471	-0.0280	 0.0082	-0.0037
-1.9994	-3.8643	-4.6528	 0.3911	-0.3337	-0.1469	 0.8428	 0.0364	-4.0378	 0.0322	-0.0242	 0.0305	 0.5280	 0.0000	 0.8513	 0.0000	 0.0000	 0.0000	 0.6215	-0.0364	 1.0685	-0.0322	 0.0242	-0.0305
 0.4648	-3.6683	-4.6355	 0.3454	 0.0171	-0.2034	 0.8382	 0.0251	-4.0393	 0.0224	-0.0184	 0.0180	 0.5708	 0.0000	 0.9212	 0.0000	 0.0000	 0.0000	-1.7704	-0.0251	 1.1670	-0.0224	 0.0184	-0.0180
 0.3091	-3.6784	-8.6841	 0.3127	 0.0941	-0.2103	 0.8432	 0.0284	-4.0350	-0.0071	-0.0030	 0.0073	 0.6151	 0.0000	 0.9935	 0.0000	 0.0000	 0.0000	-1.5909	-0.0284	 5.2573	 0.0071	 0.0030	-0.0073
-1.4481	-4.5268	-7.7457	 0.4673	-0.2656	-0.1569	 0.8417	 0.0337	-4.0472	-0.0125	-0.0061	-0.0065	 0.6625	 0.0000	 1.0710	 0.0000	 0.0000	 0.0000	 0.2165	-0.0337	 4.4153	 0.0125	 0.0061	 0.0065
-0.7665	-3.8375	-3.6131	 0.3899	-0.2559	-0.1536	 0.8411	 0.0360	-4.0406	 0.0024	-0.0091	-0.0025	 0.7117	 0.0000	 1.1515	 0.0000	 0.0000	 0.0000	-0.4205	-0.0360	 0.3358	-0.0024	 0.0091	 0.0025
-0.1803	-4.0034	-4.5731	 0.4078	-0.0591	-0.1904	 0.8442	 0.0236	-4.0324	 0.0058	-0.0053	 0.0127	 0.7634	 0.0000	 1.2360	 0.0000	 0.0000	 0.0000	-0.9497	-0.0236	 1.3986	-0.0058	 0.0053	-0.0127
-1.2713	-3.7284	-4.4223	 0.4022	-0.2457	-0.1280	 0.8428	 0.0340	-4.0292	 0.0256	-0.0139	 0.0043	 0.8178	 0.0000	 1.3250	 0.0000	 0.0000	 0.0000	 0.1843	-0.0340	 1.2900	-0.0256	 0.0139	-0.0043
