Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 5 31, 2024 -- 13: 4: 51: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	mm	N	deg	deg	deg	N	mm	N	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-1.0972	-1.0849	-1.7860	 0.1739	-0.1932	 0.0215	-0.1242	 0.0527	-2.7901	 0.0027	-0.0681	-0.0031	 0.0910	 0.0000	 0.1417	 0.0000	 0.0000	 0.0000	 1.5770	-0.0527	-7.6480	-0.0027	 0.0681	 0.0031	-0.3888	21.0249	 9.5757	-0.0669	-0.0210	-0.0436	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4698	37.1345	5347.1985	 0.0080	 0.0000	-1.4859	19.9400	 7.7896	 0.1070	-0.2142	-0.0221
-1.6804	-0.5720	-4.6662	 0.1040	-0.1854	-0.0142	-0.1259	 0.0460	-2.7971	-0.0061	-0.0783	 0.0088	 0.1045	 0.0000	 0.1633	 0.0000	 0.0000	 0.0000	 2.1766	-0.0460	-4.6773	 0.0061	 0.0783	-0.0088	-0.3917	20.8927	 9.5068	-0.0665	-0.0209	-0.0433	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4695	37.1349	5347.0111	 0.0084	 0.0000	-2.0721	20.3207	 4.8407	 0.0375	-0.2063	-0.0575
-1.8987	-0.6471	-1.7291	 0.0131	-0.2433	-0.0343	-0.1239	 0.0511	-2.8025	-0.0023	-0.0819	 0.0054	 0.1188	 0.0000	 0.1864	 0.0000	 0.0000	 0.0000	 2.4055	-0.0511	-7.5886	 0.0023	 0.0819	-0.0054	-0.3879	20.9380	 9.5041	-0.0667	-0.0209	-0.0434	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4697	37.1351	5347.1335	 0.0088	 0.0000	-2.2866	20.2909	 7.7750	-0.0536	-0.2642	-0.0777
-0.8652	-0.5937	-2.6027	 0.0855	-0.1411	-0.0306	-0.1256	 0.0526	-2.8141	 0.0237	-0.0873	 0.0195	 0.1351	 0.0000	 0.2126	 0.0000	 0.0000	 0.0000	 1.3909	-0.0526	-6.6298	-0.0237	 0.0873	-0.0195	-0.3906	20.8955	 9.4450	-0.0668	-0.0208	-0.0433	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4690	37.1357	5347.2009	 0.0092	 0.0000	-1.2558	20.3018	 6.8424	 0.0188	-0.1619	-0.0740
-0.9201	-1.1469	-1.9029	 0.1094	-0.1743	-0.0022	-0.1239	 0.0449	-2.8187	-0.0112	-0.0791	 0.0128	 0.1523	 0.0000	 0.2403	 0.0000	 0.0000	 0.0000	 1.4554	-0.0449	-7.2454	 0.0112	 0.0791	-0.0128	-0.3830	20.7672	 9.3887	-0.0663	-0.0206	-0.0430	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4688	37.1358	5347.2147	 0.0096	 0.0000	-1.3031	19.6203	 7.4857	 0.0431	-0.1949	-0.0452
-2.2230	-0.4414	 1.0960	 0.1117	-0.3519	 0.0168	-0.1198	 0.0480	-2.8283	 0.0078	-0.0853	 0.0032	 0.1710	 0.0000	 0.2706	 0.0000	 0.0000	 0.0000	 2.7684	-0.0480	-10.1783	-0.0078	 0.0853	-0.0032	-0.3743	20.7668	 9.3529	-0.0665	-0.0205	-0.0430	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4699	37.1359	5347.2094	 0.0100	 0.0000	-2.5973	20.3253	10.4490	 0.0452	-0.3724	-0.0262
-1.6525	-1.2328	-1.8171	 0.2033	-0.2628	-0.0032	-0.1195	 0.0507	-2.8232	-0.0037	-0.0704	 0.0056	 0.1913	 0.0000	 0.3035	 0.0000	 0.0000	 0.0000	 2.2137	-0.0507	-7.2711	 0.0037	 0.0704	-0.0056	-0.3699	20.8267	 9.3918	-0.0666	-0.0206	-0.0431	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4705	37.1359	5347.2700	 0.0104	 0.0000	-2.0224	19.5939	 7.5746	 0.1366	-0.2834	-0.0462
-2.1367	 0.2119	 0.0761	 0.0454	-0.3899	 0.0272	-0.1190	 0.0388	-2.8215	 0.0075	-0.0858	 0.0172	 0.2128	 0.0000	 0.3383	 0.0000	 0.0000	 0.0000	 2.7174	-0.0388	-9.0779	-0.0075	 0.0858	-0.0172	-0.3679	20.6650	 9.3401	-0.0660	-0.0205	-0.0428	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4715	37.1362	5347.3738	 0.0108	 0.0000	-2.5046	20.8769	 9.4162	-0.0206	-0.4103	-0.0156
-1.2260	-0.5978	-2.8371	 0.0732	-0.2414	 0.0133	-0.1052	 0.0269	-2.8347	-0.0091	-0.0845	 0.0267	 0.2365	 0.0000	 0.3767	 0.0000	 0.0000	 0.0000	 1.7843	-0.0269	-5.9979	 0.0091	 0.0845	-0.0267	-0.3218	20.4248	 9.2118	-0.0653	-0.0200	-0.0421	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4702	37.1360	5347.3769	 0.0112	 0.0000	-1.5478	19.8270	 6.3747	 0.0079	-0.2614	-0.0288
-1.4054	-0.4098	-2.9189	 0.0164	-0.1897	 0.0076	-0.1061	 0.0349	-2.8558	 0.0019	-0.0746	 0.0150	 0.2614	 0.0000	 0.4170	 0.0000	 0.0000	 0.0000	 1.9907	-0.0349	-5.8056	-0.0019	 0.0746	-0.0150	-0.3240	20.4360	 9.1415	-0.0657	-0.0199	-0.0421	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4698	37.1355	5347.3684	 0.0116	 0.0000	-1.7294	20.0262	 6.2226	-0.0493	-0.2095	-0.0345
