Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.033
Time Stamp: 7 29, 2024 -- 12: 49: 14: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	N	N	N-m	N-m	N-m	N	N	N	N-m	N-m	N-m	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-0.5004	 2.7361	-252.6738	 0.1025	-0.1826	 0.0648	 1.1254	-0.9779	-1.0072	-0.7709	-0.5143	-0.4823	 0.0000	-0.0000	-250.0000	 0.0317	-0.0000	 0.0000	 0.5004	-2.7361	 2.6738	-0.0707	 0.1826	-0.0648	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2562	37.4713	5360.8393	 0.0132	 0.0000	-0.5004	 2.7361	-252.6738	 0.1025	-0.1826	 0.0648
 2.2168	-2.5608	-245.7203	-0.0439	-0.0992	-0.0770	 1.1708	-1.0545	-0.9996	-0.7695	-0.5195	-0.4108	 0.0000	-0.0000	-250.0000	 0.0351	-0.0000	 0.0000	-2.2168	 2.5608	-4.2797	 0.0790	 0.0992	 0.0770	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2564	37.4721	5360.8199	 0.0138	 0.0000	 2.2168	-2.5608	-245.7203	-0.0439	-0.0992	-0.0770
-3.8079	 1.8566	-253.9525	 0.0800	-0.0278	 0.0483	 1.0809	-0.9947	-1.0137	-0.7945	-0.5131	-0.4803	 0.0000	-0.0000	-250.0000	 0.0385	-0.0000	 0.0000	 3.8079	-1.8566	 3.9525	-0.0415	 0.0278	-0.0483	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2567	37.4723	5360.7900	 0.0145	 0.0000	-3.8079	 1.8566	-253.9525	 0.0800	-0.0278	 0.0483
 1.9369	-2.6402	-244.5991	-0.0424	-0.1075	-0.0505	 1.1520	-1.0520	-1.0022	-0.7884	-0.5230	-0.4293	 0.0000	-0.0000	-250.0000	 0.0422	-0.0000	 0.0000	-1.9369	 2.6402	-5.4009	 0.0846	 0.1075	 0.0505	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2578	37.4723	5360.8817	 0.0152	 0.0000	 1.9369	-2.6402	-244.5991	-0.0424	-0.1075	-0.0505
 0.8620	 2.9716	-254.8565	 0.1321	-0.1288	 0.0269	 1.1469	-0.9850	-1.0140	-0.7885	-0.5184	-0.4791	 0.0000	-0.0000	-250.0000	 0.0460	-0.0000	 0.0000	-0.8620	-2.9716	 4.8565	-0.0861	 0.1288	-0.0269	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2575	37.4727	5360.9279	 0.0158	 0.0000	 0.8620	 2.9716	-254.8565	 0.1321	-0.1288	 0.0269
 0.5775	-1.3117	-244.1671	 0.0202	-0.1539	 0.0034	 1.1490	-1.0224	-0.9990	-0.7741	-0.5248	-0.4351	 0.0000	-0.0000	-250.0000	 0.0500	-0.0000	 0.0000	-0.5775	 1.3117	-5.8329	 0.0298	 0.1539	-0.0034	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2572	37.4729	5360.9695	 0.0165	 0.0000	 0.5775	-1.3117	-244.1671	 0.0202	-0.1539	 0.0034
-1.5363	 0.2147	-253.7865	 0.0747	-0.1077	-0.0023	 1.1189	-1.0333	-1.0144	-0.7809	-0.5144	-0.4600	-0.0000	 0.0000	-250.0000	 0.0541	 0.0000	-0.0000	 1.5363	-0.2147	 3.7865	-0.0206	 0.1077	 0.0023	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2576	37.4722	5360.9848	 0.0171	 0.0000	-1.5363	 0.2147	-253.7865	 0.0747	-0.1077	-0.0023
 0.0854	 0.2069	-248.0114	 0.0379	-0.1322	 0.0215	 1.1285	-1.0088	-1.0048	-0.7791	-0.5204	-0.4678	-0.0000	 0.0000	-250.0000	 0.0584	 0.0000	-0.0000	-0.0854	-0.2069	-1.9886	 0.0205	 0.1322	-0.0215	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2578	37.4705	5361.0377	 0.0178	 0.0000	 0.0854	 0.2069	-248.0114	 0.0379	-0.1322	 0.0215
 1.3912	-0.1405	-249.0935	 0.0369	-0.1055	-0.0125	 1.1599	-1.0349	-1.0053	-0.7690	-0.5226	-0.4385	-0.0000	 0.0000	-250.0000	 0.0629	 0.0000	-0.0000	-1.3912	 0.1405	-0.9065	 0.0260	 0.1055	 0.0125	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2587	37.4701	5361.2013	 0.0185	 0.0000	 1.3912	-0.1405	-249.0935	 0.0369	-0.1055	-0.0125
-2.3475	 1.5249	-250.8898	 0.0786	-0.2016	 0.0894	 1.1132	-1.0009	-1.0104	-0.7827	-0.5148	-0.4612	-0.0000	 0.0000	-250.0000	 0.0676	 0.0000	-0.0000	 2.3475	-1.5249	 0.8898	-0.0111	 0.2016	-0.0894	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2576	37.4706	5361.2360	 0.0191	 0.0000	-2.3475	 1.5249	-250.8898	 0.0786	-0.2016	 0.0894
 0.6213	-1.8228	-246.7579	-0.0339	-0.1201	-0.0230	 1.1480	-1.0732	-1.0068	-0.7625	-0.5153	-0.4203	-0.0000	 0.0000	-250.0000	 0.0724	 0.0000	-0.0000	-0.6213	 1.8228	-3.2421	 0.1063	 0.1201	 0.0230	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2578	37.4710	5361.2124	 0.0198	 0.0000	 0.6213	-1.8228	-246.7579	-0.0339	-0.1201	-0.0230
-1.0206	 2.9036	-253.3974	 0.1105	-0.1125	 0.0720	 1.1208	-0.9985	-1.0158	-0.7747	-0.5109	-0.4814	-0.0000	 0.0000	-250.0000	 0.0773	 0.0000	-0.0000	 1.0206	-2.9036	 3.3974	-0.0332	 0.1125	-0.0720	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2574	37.4701	5361.1208	 0.0204	 0.0000	-1.0206	 2.9036	-253.3974	 0.1105	-0.1125	 0.0720
 2.3725	-1.4832	-244.4798	 0.0251	-0.1535	-0.0294	 1.1734	-1.0585	-1.0024	-0.7381	-0.5190	-0.4261	 0.0000	-0.0000	-250.0000	 0.0824	-0.0000	 0.0000	-2.3725	 1.4832	-5.5202	 0.0574	 0.1535	 0.0294	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2578	37.4709	5361.1305	 0.0211	 0.0000	 2.3725	-1.4832	-244.4798	 0.0251	-0.1535	-0.0294
-2.6519	 2.6994	-254.4331	 0.1064	-0.0626	 0.0558	 1.1116	-1.0104	-1.0128	-0.7467	-0.5128	-0.4761	 0.0000	-0.0000	-250.0000	 0.0877	-0.0000	 0.0000	 2.6519	-2.6994	 4.4331	-0.0187	 0.0626	-0.0558	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2572	37.4711	5361.1301	 0.0218	 0.0000	-2.6519	 2.6994	-254.4331	 0.1064	-0.0626	 0.0558
 0.8551	-2.3925	-245.0337	 0.0043	-0.1201	-0.0360	 1.1455	-1.0702	-1.0062	-0.7440	-0.5102	-0.4367	 0.0000	-0.0000	-250.0000	 0.0932	-0.0000	 0.0000	-0.8551	 2.3925	-4.9663	 0.0888	 0.1201	 0.0360	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2577	37.4717	5361.1672	 0.0224	 0.0000	 0.8551	-2.3925	-245.0337	 0.0043	-0.1201	-0.0360
-0.0781	 2.1151	-252.6745	 0.0882	-0.1490	 0.0247	 1.1441	-1.0327	-1.0155	-0.7574	-0.5096	-0.4778	 0.0000	-0.0000	-250.0000	 0.0988	-0.0000	 0.0000	 0.0781	-2.1151	 2.6745	 0.0106	 0.1490	-0.0247	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	36.2582	37.4714	5361.1739	 0.0231	 0.0000	-0.0781	 2.1151	-252.6745	 0.0882	-0.1490	 0.0247
